TAI Time at Start of Scan replicated across the swath (Time UTC+0);Geodetic Latitude (Degrees_north);Geodetic Longitude (Degrees_east);Deep Blue AOT at 0.55 micron for land with higher quality data (Quality flag=2,3) (None);Standard deviation of Deep Blue AOT at 0.55 micron for land with  all quality data (Quality flag=1,2,3) (None);Deep Blue Aerosol Confidence Flag (0= No Confidence (or fill),  1= Marginal, 2= Good, 3= Very Good) (None);Averaged topographic altitude (in km) for Land (KM)
2018-10-03T12:03:34.000000;39.511143;-7.917248;20;12;3;21
2018-10-03T12:03:35.000000;39.53432;-8.445303;23;11;3;8
2018-10-03T12:03:35.000000;39.480988;-8.204127;22;12;3;8
2018-10-03T12:03:35.000000;39.425625;-7.9565024;17;5;3;24
2018-10-03T12:03:36.000000;39.547966;-8.941093;19;10;3;11
2018-10-03T12:03:36.000000;39.499664;-8.717925;18;15;3;30
2018-10-03T12:03:36.000000;39.448044;-8.481791;21;15;3;3
2018-10-03T12:03:36.000000;39.39512;-8.242317;15;7;3;14
2018-10-03T12:03:36.000000;39.339584;-7.993719;16;5;3;20
2018-10-03T12:03:38.000000;39.462135;-8.979584;17;8;3;18
2018-10-03T12:03:38.000000;39.413338;-8.753923;18;12;3;14
2018-10-03T12:03:38.000000;39.36219;-8.519814;17;11;3;1
2018-10-03T12:03:38.000000;39.309494;-8.281223;14;6;3;16
2018-10-03T12:03:38.000000;39.253788;-8.031645;15;10;3;13
2018-10-03T12:03:39.000000;39.375694;-9.0157795;16;8;3;15
2018-10-03T12:03:39.000000;39.326965;-8.790293;18;18;3;10
2018-10-03T12:03:39.000000;39.27603;-8.557022;17;9;3;2
2018-10-03T12:03:39.000000;39.22329;-8.318027;13;6;3;13
2018-10-03T12:03:39.000000;39.16772;-8.0689125;13;8;3;11
2018-10-03T12:03:39.000000;39.109623;-7.811343;27;17;3;15
2018-10-03T12:03:41.000000;39.289608;-9.052908;18;11;3;11
2018-10-03T12:03:41.000000;39.240982;-8.827748;19;18;3;7
2018-10-03T12:03:41.000000;39.19027;-8.595329;18;12;3;4
2018-10-03T12:03:41.000000;39.137547;-8.356233;14;7;3;12
2018-10-03T12:03:41.000000;39.082146;-8.107694;12;7;3;13
2018-10-03T12:03:41.000000;39.024227;-7.8507123;22;14;3;19
2018-10-03T12:03:42.000000;39.203186;-9.089207;18;14;3;11
2018-10-03T12:03:42.000000;39.154648;-8.864309;17;13;3;7
2018-10-03T12:03:42.000000;39.103947;-8.631783;16;7;3;2
